,ADMIN,population2020,populuation2000,population1980
0,Bangladesh,164689383.0,127657854.0,79639491.0
1,Brazil,212559417.0,174790340.0,120694009.0
2,China,1439323776.0,1290550765.0,1000089235.0
3,Republic of Congo,89561403.0,47105826.0,26358908.0
4,Egypt,102334404.0,68831561.0,43309063.0
5,Ethiopia,114963588.0,66224804.0,35141712.0
6,France,65273511.0,59015096.0,53868009.0
7,Germany,83783942.0,81400882.0,78283100.0
8,India,1380004385.0,1056575549.0,698952844.0
9,Indonesia,273523615.0,211513823.0,147447836.0
10,Iran,83992949.0,65623405.0,38650246.0
11,Italy,60461826.0,56692178.0,56349349.0
12,Japan,126476461.0,127524174.0,117816940.0
13,Mexico,128932753.0,98899845.0,67761372.0
14,Nigeria,206139589.0,122283850.0,73423633.0
15,Pakistan,220892340.0,142343578.0,78054343.0
16,Philippines,109581078.0,77991755.0,47357743.0
17,Russia,145934462.0,146404903.0,138053150.0
18,South Africa,59308690.0,44967708.0,28556769.0
19,Tanzania,59734218.0,33499180.0,18538259.0
20,Thailand,69799978.0,62952642.0,47374472.0
21,Turkey,84339067.0,63240194.0,43975971.0
22,United Kingdom,67886011.0,58923309.0,56209171.0
23,United States of America,331002651.0,281710909.0,229476354.0
24,Vietnam,97338579.0,79910412.0,54281846.0
